Date,Open,High,Low,Close,Volume,Adj Close
2006-01-26,45.0,48.279999,39.509998,44.0,13218600,44.0
2006-01-27,44.880001,44.900002,41.75,42.200001,1150800,42.200001
2006-01-30,42.200001,45.509998,41.25,44.799999,735800,44.799999
2006-01-31,45.5,49.299999,45.380001,47.52,1111200,47.52
2006-02-01,48.900002,49.240002,45.25,46.560001,606700,46.560001
2006-02-02,47.900002,47.91,44.259998,44.75,401500,44.75
2006-02-03,44.849998,46.560001,44.25,46.549999,245300,46.549999
2006-02-06,47.48,48.0,46.0,47.709999,349800,47.709999
2006-02-07,47.709999,47.75,45.25,46.279999,267200,46.279999
2006-02-08,45.849998,46.599998,45.040001,45.740002,174400,45.740002
2006-02-09,45.779999,46.0,43.080002,44.049999,220300,44.049999
2006-02-10,43.25,43.259998,41.5,42.310001,375500,42.310001
2006-02-13,41.75,42.549999,41.0,41.48,199100,41.48
2006-02-14,41.450001,43.259998,41.189999,43.0,197900,43.0
2006-02-15,43.099998,43.299999,42.220001,42.700001,98100,42.700001
2006-02-16,43.75,44.700001,42.529999,44.450001,293000,44.450001
2006-02-17,44.25,45.0,43.849998,43.849998,138000,43.849998
2006-02-21,44.0,44.060001,42.810001,43.099998,68100,43.099998
2006-02-22,43.0,44.150002,42.849998,43.869999,95900,43.869999
2006-02-23,45.099998,45.990002,44.75,45.799999,249300,45.799999
2006-02-24,45.900002,46.75,45.799999,46.669998,138300,46.669998
2006-02-27,46.950001,46.950001,46.18,46.529999,100800,46.529999
2006-02-28,46.529999,46.529999,45.599998,45.599998,87500,45.599998
2006-03-01,45.639999,46.200001,44.599998,45.5,190100,45.5
2006-03-02,45.5,46.310001,45.07,45.75,229000,45.75
2006-03-03,45.75,46.290001,45.130001,45.48,89100,45.48
2006-03-06,45.599998,46.099998,45.029999,45.790001,168900,45.790001
2006-03-07,44.5,45.25,44.25,45.0,328300,45.0
2006-03-08,44.849998,44.849998,42.200001,42.5,306600,42.5
2006-03-09,42.75,42.900002,41.25,41.459999,161500,41.459999
2006-03-10,41.400002,42.880001,40.889999,42.110001,313900,42.110001
2006-03-13,42.360001,43.75,42.360001,43.41,190400,43.41
2006-03-14,46.290001,49.150002,45.950001,48.700001,1255800,48.700001
2006-03-15,48.0,52.75,47.849998,52.009998,1142100,52.009998
2006-03-16,52.0,56.75,51.889999,55.049999,1697700,55.049999
2006-03-17,55.5,55.5,53.419998,53.860001,396200,53.860001
2006-03-20,53.860001,53.860001,50.049999,50.09,863500,50.09
2006-03-21,50.259998,52.349998,50.200001,52.0,360400,52.0
2006-03-22,52.950001,54.849998,52.950001,54.799999,579300,54.799999
2006-03-23,55.0,55.099998,53.0,53.880001,505500,53.880001
2006-03-24,54.0,54.849998,53.610001,54.509998,277000,54.509998
2006-03-27,54.25,54.450001,53.299999,54.09,220900,54.09
2006-03-28,54.099998,54.099998,52.950001,53.200001,175600,53.200001
2006-03-29,53.450001,54.450001,53.0,53.93,148000,53.93
2006-03-30,54.029999,55.5,53.849998,55.41,209400,55.41
2006-03-31,55.200001,56.5,54.599998,55.389999,770400,55.389999
2006-04-03,55.560001,57.490002,55.200001,56.98,370100,56.98
2006-04-04,57.150002,57.470001,56.400002,57.0,167400,57.0
2006-04-05,57.0,57.200001,56.029999,57.150002,99300,57.150002
2006-04-06,57.599998,58.0,55.48,55.5,301700,55.5
2006-04-07,55.450001,55.5,54.400002,54.650002,221100,54.650002
2006-04-10,54.400002,55.599998,53.450001,53.73,338100,53.73
2006-04-11,53.740002,55.0,53.119999,54.599998,359400,54.599998
2006-04-12,54.5,55.189999,53.82,54.049999,212800,54.049999
2006-04-13,54.009998,54.02,52.709999,53.02,148100,53.02
2006-04-17,52.799999,54.259998,52.75,54.07,99700,54.07
2006-04-18,53.950001,54.290001,53.75,53.919998,104200,53.919998
2006-04-19,54.0,54.400002,53.799999,54.0,150500,54.0
2006-04-20,54.0,54.0,53.0,53.16,99400,53.16
2006-04-21,53.75,53.900002,53.0,53.400002,119100,53.400002
2006-04-24,53.25,53.389999,52.93,53.310001,166900,53.310001
2006-04-25,53.060001,53.060001,51.25,52.150002,315500,52.150002
2006-04-26,52.150002,52.419998,50.990002,51.099998,166200,51.099998
2006-04-27,49.0,50.799999,48.299999,50.779999,813000,50.779999
2006-04-28,50.299999,52.48,50.110001,52.189999,159600,52.189999
2006-05-01,52.0,52.16,51.400002,51.650002,154900,51.650002
2006-05-02,53.0,55.450001,52.509998,54.560001,680100,54.560001
2006-05-03,54.549999,55.200001,54.540001,55.009998,204800,55.009998
2006-05-04,55.259998,56.189999,54.900002,55.610001,194200,55.610001
2006-05-05,55.5,57.0,55.400002,56.900002,163800,56.900002
2006-05-08,57.259998,59.59,57.099998,59.27,782100,59.27
2006-05-09,65.349998,67.769997,62.27,67.050003,2515400,67.050003
2006-05-10,67.050003,67.050003,64.510002,64.849998,518900,64.849998
2006-05-11,64.599998,65.699997,63.91,64.199997,322700,64.199997
2006-05-12,64.199997,64.370003,63.209999,63.27,268400,63.27
2006-05-15,63.27,63.5,61.279999,62.150002,376900,62.150002
2006-05-16,62.200001,65.379997,62.200001,63.900002,456600,63.900002
2006-05-17,63.900002,64.800003,63.400002,64.160004,257000,64.160004
2006-05-18,64.900002,65.599998,62.639999,62.689999,890100,62.689999
2006-05-19,62.200001,63.279999,61.279999,61.830002,2260400,61.830002
2006-05-22,61.650002,62.099998,59.41,60.82,593400,60.82
2006-05-23,61.0,62.490002,60.75,60.759998,391000,60.759998
2006-05-24,60.759998,61.0,59.549999,60.150002,370700,60.150002
2006-05-25,60.5,62.0,60.5,61.25,271400,61.25
2006-05-26,61.150002,61.470001,60.799999,60.889999,95700,60.889999
2006-05-30,61.009998,61.009998,57.700001,58.09,426400,58.09
2006-05-31,58.09,58.799999,56.709999,57.77,465700,57.77
2006-06-01,58.0,60.0,58.0,60.0,240600,60.0
2006-06-02,60.200001,60.73,59.330002,60.57,294000,60.57
2006-06-05,60.57,60.57,58.860001,58.900002,162400,58.900002
2006-06-06,58.900002,58.91,57.360001,58.16,237700,58.16
2006-06-07,58.25,59.950001,58.099998,58.610001,261100,58.610001
2006-06-08,58.09,58.099998,55.060001,57.290001,424100,57.290001
2006-06-09,57.290001,58.450001,56.25,56.25,171500,56.25
2006-06-12,56.48,57.650002,55.5,57.099998,249200,57.099998
2006-06-13,56.900002,57.459999,56.150002,56.150002,251800,56.150002
2006-06-14,56.150002,58.279999,56.150002,58.150002,212700,58.150002
2006-06-15,58.799999,62.23,58.799999,61.880001,717700,61.880001
2006-06-16,62.470001,62.470001,61.310001,61.759998,412100,61.759998
2006-06-19,61.900002,61.91,60.68,60.98,203400,60.98
