Date,Open,High,Low,Close,Volume,Adj Close
2006-03-15,23.950001,24.690001,23.450001,24.1,7251200,12.813873
2006-03-16,24.1,24.35,23.889999,24.27,649100,12.904261
2006-03-17,24.25,25.120001,24.15,25.01,287000,13.297716
2006-03-20,25.17,25.610001,24.75,24.9,282800,13.239229
2006-03-21,24.889999,24.889999,24.0,24.200001,274700,12.867043
2006-03-22,24.049999,24.299999,24.0,24.16,103000,12.845774
2006-03-23,24.09,24.200001,23.99,24.1,106200,12.813873
2006-03-24,24.299999,24.99,24.24,24.5,101300,13.026551
2006-03-27,24.65,25.75,24.450001,24.75,111700,13.159475
2006-03-28,24.73,24.860001,24.549999,24.700001,115400,13.132891
2006-03-29,24.950001,25.049999,24.75,24.9,81900,13.239229
2006-03-30,24.950001,25.450001,24.950001,25.450001,132400,13.531663
2006-03-31,25.5,25.959999,25.5,25.75,100100,13.691171
2006-04-03,25.799999,25.799999,24.799999,24.9,291800,13.239229
2006-04-04,24.889999,24.9,24.700001,24.799999,220200,13.186059
2006-04-05,24.75,24.76,24.629999,24.68,122200,13.122257
2006-04-06,24.5,24.68,24.049999,24.25,130100,12.893627
2006-04-07,24.25,24.25,23.9,24.110001,33700,12.81919
2006-04-10,24.049999,24.35,24.01,24.309999,43800,12.925529
2006-04-11,24.280001,24.280001,23.950001,24.1,163800,12.813873
2006-04-12,25.35,25.35,24.07,24.1,664800,12.813873
2006-04-13,24.15,24.450001,24.01,24.379999,214700,12.962747
2006-04-17,24.389999,24.700001,24.389999,24.6,203100,13.079721
2006-04-18,24.52,24.58,23.98,24.25,186400,12.893627
2006-04-19,24.25,25.0,24.25,24.75,241600,13.159475
2006-04-20,24.799999,25.940001,24.73,25.6,166400,13.611417
2006-04-21,25.700001,26.1,25.209999,25.450001,401800,13.531663
2006-04-24,25.450001,25.9,25.299999,25.51,92400,13.563564
2006-04-25,25.48,26.200001,25.48,25.799999,232500,13.717755
2006-04-26,25.65,26.0,25.5,25.75,145000,13.691171
2006-04-27,25.76,25.85,25.26,25.389999,52300,13.49976
2006-04-28,25.389999,25.4,24.129999,24.73,232200,13.148841
2006-05-01,24.73,25.17,24.73,25.139999,151000,13.366836
2006-05-02,25.15,25.200001,24.74,24.75,124000,13.159475
2006-05-03,24.75,24.76,24.559999,24.620001,110100,13.090355
2006-05-04,24.52,24.610001,24.110001,24.58,95500,13.069087
2006-05-05,24.5,24.639999,24.219999,24.549999,104900,13.053135
2006-05-08,24.5,25.0,24.459999,24.860001,106200,13.217962
2006-05-09,24.879999,25.0,24.65,24.92,85400,13.249863
2006-05-10,25.049999,25.1,24.780001,24.99,74200,13.287082
2006-05-11,25.09,25.799999,25.0,25.799999,57100,13.717755
2006-05-12,25.4,25.5,24.940001,25.469999,49300,13.542296
2006-05-15,25.389999,25.4,25.139999,25.280001,72200,13.441274
2006-05-16,25.25,25.74,25.24,25.540001,84600,13.579515
2006-05-17,25.450001,25.450001,25.25,25.4,98200,13.505077
2006-05-18,25.33,25.68,25.33,25.41,68800,13.510394
2006-05-19,25.309999,25.4,25.049999,25.4,165700,13.505077
2006-05-22,25.360001,25.530001,25.059999,25.51,66100,13.563564
2006-05-23,25.35,25.450001,25.219999,25.25,47300,13.425323
2006-05-24,25.200001,25.4,24.889999,25.299999,37600,13.451907
2006-05-25,25.25,25.309999,24.91,25.08,50200,13.334935
2006-05-26,25.0,25.049999,24.940001,25.0,44200,13.292399
2006-05-30,24.98,25.08,24.780001,24.98,68500,13.281765
2006-05-31,25.0,25.290001,24.950001,25.190001,69000,13.393422
2006-06-01,25.09,26.0,25.02,26.0,40100,13.824095
2006-06-02,25.9,26.5,25.799999,26.5,69500,14.089943
2006-06-05,26.4,26.530001,26.190001,26.48,67400,14.079309
2006-06-06,26.48,26.48,25.969999,26.049999,62300,13.850679
2006-06-07,26.049999,26.15,25.65,25.870001,52700,13.754975
2006-06-08,25.77,25.82,25.35,25.82,40600,13.72839
2006-06-09,25.85,25.91,24.799999,24.799999,145000,13.186059
2006-06-12,24.85,24.85,23.75,24.01,55300,12.76602
2006-06-13,23.889999,24.01,23.02,23.040001,301500,12.250275
2006-06-14,23.0,23.0,21.42,22.23,230800,11.819601
2006-06-15,22.33,22.59,22.18,22.450001,185600,11.936575
2006-06-16,22.51,23.6,22.5,23.450001,90600,12.468271
2006-06-19,23.65,23.9,21.85,22.9,105100,12.175837
2006-06-20,23.129999,23.780001,22.82,23.67,62300,12.585243
2006-06-21,23.620001,24.6,23.450001,24.440001,49000,12.99465
2006-06-22,24.530001,24.85,24.51,24.629999,35900,13.095671
2006-06-23,24.700001,25.889999,24.620001,25.379999,86700,13.494443
2006-06-26,25.4,26.129999,25.34,26.059999,36400,13.855996
2006-06-27,25.83,26.73,25.83,26.110001,118100,13.882582
2006-06-28,26.16,26.16,25.43,25.469999,106100,13.542296
2006-06-29,25.469999,26.0,25.469999,25.879999,91600,13.760291
2006-06-30,25.9,25.9,23.950001,23.950001,765000,12.734119
2006-07-03,24.200001,24.4,23.299999,23.530001,173500,12.510806
2006-07-05,23.43,23.530001,23.1,23.48,54900,12.484221
2006-07-06,23.48,23.5,22.93,23.040001,83100,12.250275
2006-07-07,22.959999,23.299999,22.879999,23.0,72800,12.229007
2006-07-10,23.0,23.24,22.969999,23.16,42200,12.314078
2006-07-11,23.120001,23.48,23.049999,23.469999,51200,12.478904
2006-07-12,23.459999,23.67,23.1,23.549999,60800,12.521439
2006-07-13,23.43,23.76,23.290001,23.48,52400,12.484221
